ER30001,ER30002,CP_FLAG,CDS97KID,CDS02KID,CDS07KID,TA05KID,TA05_RESP,TA05_PSID,TA07KID,TA07_RESP,TA07_PSID,TA09KID,TA09_RESP,TA09_PSID,TA11KID,TA11_RESP,TA11_PSID,PCGID_97,PCGPN_97,PCG97_REL,OCGID_97,OCGPN_97,OCG97_REL,PCGID_02,PCGPN_02,PCG02_REL,OCGID_02,OCGPN_02,OCG02_REL,PCGID_07,PCGPN_07,PCG07_REL,OCGID_07,OCGPN_07,OCG07_REL
4,37,1,1,,,,,,,,,1,3,8582,,,,4,179,1,,,,,,,,,,,,,,,
4,38,1,1,,,,,,,,,1,1,8180,1,1,7655,4,7,1,,,,,,,,,,,,,,,
4,39,1,1,1,1,,,,,,,1,3,13,1,2,1602,4,173,3,4,3,4,4,173,3,4,3,4,4,173,3,4,3,4
4,41,1,1,1,1,,,,,,,,,,1,1,2147,4,31,1,,,,4,31,1,,,,4,31,1,4,195,2
4,42,1,1,1,1,,,,,,,,,,,,,4,31,1,,,,4,31,1,,,,4,31,1,4,195,2
4,43,1,1,,,,,,,,,,,,,,,4,36,1,4,190,2,,,,,,,,,,,,
4,180,1,1,,,1,2,771,1,1,1130,1,1,77,1,2,1839,4,179,1,,,,,,,,,,,,,,,
4,187,1,1,1,,,,,,,,,,,,,,4,5,1,4,186,2,4,5,1,4,186,2,,,,,,
5,32,1,1,1,,1,3,624,1,2,8069,1,2,3976,1,2,8389,5,170,1,5,3,2,5,170,1,5,3,2,,,,,,
5,33,1,1,,1,,,,,,,,,,,,,5,172,1,5,5,2,,,,,,,5,5,2,5,177,
6,34,1,1,,,1,3,1202,1,1,5967,1,1,858,1,1,7106,6,172,1,6,6,2,,,,,,,,,,,,
7,39,1,1,1,,,,,1,3,1154,1,1,6730,1,1,83,7,171,1,7,5,2,7,171,1,,,,,,,,,
7,40,1,1,1,,,,,1,3,482,1,2,3836,1,2,177,7,171,1,7,5,2,7,171,1,,,,,,,,,
7,41,1,1,,1,,,,,,,1,3,576,1,3,1100,7,30,1,7,4,3,,,,,,,7,30,1,,,
7,44,1,1,,1,,,,,,,,,,1,3,1100,7,30,1,7,4,3,,,,,,,7,30,1,,,
7,45,1,1,1,1,,,,,,,,,,,,,7,175,1,7,31,2,7,175,1,7,31,2,7,175,1,7,31,2
7,46,1,1,,1,,,,,,,,,,,,,7,34,1,,,,,,,,,,7,177,2,,,
7,47,1,1,,1,,,,,,,,,,,,,7,34,1,,,,,,,,,,7,177,2,,,
10,33,1,1,1,1,,,,,,,,,,,,,10,177,1,,,,10,177,1,,,,10,177,1,,,
10,34,1,1,1,1,,,,,,,1,3,3276,,,,10,6,1,10,176,2,10,6,1,,,,10,6,1,,,
10,35,1,1,1,1,,,,,,,,,,1,3,8551,10,6,1,10,176,2,10,6,1,,,,10,6,1,,,
14,30,1,1,1,,1,3,736,1,3,3621,1,3,5994,1,3,1685,14,172,1,14,4,2,14,172,1,14,4,2,,,,,,
14,31,1,1,1,,,,,1,2,4149,1,1,713,1,1,1780,14,172,1,14,4,2,14,172,1,14,4,2,,,,,,
14,32,1,1,1,1,,,,,,,,,,1,3,964,14,3,1,14,173,2,14,3,1,14,173,2,14,3,1,14,173,2
14,33,1,1,1,1,,,,,,,,,,,,,14,3,1,14,173,2,14,3,1,14,173,2,14,3,1,14,173,2
16,33,1,1,,,,,,,,,,,,,,,16,4,1,16,172,2,,,,,,,,,,,,
18,38,1,1,1,,1,3,5647,1,1,1047,,,,,,,18,170,1,,,,18,170,1,18,193,,,,,,,
18,39,1,1,1,1,,,,,,,,,,,,,18,31,1,18,183,2,18,31,1,18,183,2,18,31,1,18,183,2
18,40,1,1,1,1,,,,,,,,,,,,,18,31,1,18,183,2,18,31,1,18,183,2,18,31,1,18,183,2
18,41,1,1,1,1,,,,,,,,,,,,,18,185,1,18,35,2,18,185,1,18,35,2,18,185,1,18,204,
18,187,0,1,,,,,,,,,,,,,,,18,173,,18,21,,,,,,,,,,,,,
18,189,1,1,1,1,,,,,,,,,,,,,18,173,,18,21,,18,173,,18,21,,18,173,,18,21,
18,191,1,1,,,,,,,,,,,,,,,18,190,1,18,3,,,,,,,,,,,,,
18,192,1,1,,,,,,,,,,,,,,,18,190,1,18,3,,,,,,,,,,,,,
22,30,1,1,1,,,,,1,3,2585,1,3,907,1,3,1751,22,3,1,22,174,2,22,3,1,22,2,3,,,,,,
22,31,1,1,1,1,,,,,,,1,3,962,1,3,841,22,173,1,,,,22,173,1,,,,22,173,1,,,
22,176,1,1,1,1,,,,,,,,,,1,3,5984,22,175,1,22,4,2,22,175,1,22,4,2,22,175,1,,,
39,31,1,1,1,1,,,,,,,,,,,,,39,174,1,39,30,2,39,174,1,39,30,2,39,174,1,39,30,2
40,35,1,1,1,,,,,,,,1,1,6236,1,1,7750,40,171,2,,,,40,178,5,,,,,,,,,
40,38,1,1,,1,,,,,,,,,,1,3,290,40,30,1,40,173,,,,,,,,40,182,,40,172,2
40,39,1,1,,1,,,,,,,,,,,,,40,30,1,40,173,2,,,,,,,40,173,2,40,179,
45,32,1,1,1,1,,,,,,,,,,1,3,2720,45,179,,45,178,,45,179,,45,178,,45,179,,45,178,
45,33,1,1,,,,,,,,,,,,,,,45,181,5,45,180,,,,,,,,,,,,,
45,34,1,1,1,,,,,,,,,,,,,,45,30,1,,,,45,30,1,45,184,,,,,,,
47,34,1,1,1,,1,3,2516,1,2,2554,1,2,2699,1,2,3153,47,4,1,47,170,2,47,4,1,47,170,2,,,,,,
47,35,1,1,1,,,,,1,3,3357,1,3,2260,1,3,1206,47,31,1,47,174,2,47,31,1,47,174,2,,,,,,
47,36,1,1,1,1,,,,,,,1,3,3510,1,3,337,47,4,1,47,170,2,47,4,1,47,170,2,47,4,1,47,170,2
47,37,1,1,1,,,,,,,,1,1,8718,1,1,2860,47,173,1,47,5,2,47,173,1,47,177,,,,,,,
47,38,1,1,1,,,,,,,,,,,1,3,2137,47,173,1,47,5,2,47,173,1,47,177,,,,,,,
47,39,1,1,1,1,,,,,,,,,,,,,47,31,1,47,174,2,47,31,1,47,174,2,47,31,1,47,174,2
47,40,1,1,1,1,,,,,,,,,,,,,47,32,1,47,176,2,47,32,1,47,176,2,47,32,1,47,176,2
50,32,1,1,1,,,,,1,3,181,1,3,1911,1,3,6025,50,171,1,50,3,2,50,171,1,50,3,2,,,,,,
50,33,1,1,1,1,,,,,,,1,3,1911,1,3,6025,50,171,1,50,3,2,50,171,1,50,3,2,50,171,1,50,3,2
50,34,1,1,1,1,,,,,,,,,,1,3,5981,50,5,1,50,170,2,50,5,1,50,170,2,50,5,1,50,170,2
50,35,1,1,1,1,,,,,,,,,,,,,50,5,1,50,170,2,50,5,1,50,170,2,50,5,1,50,170,2
51,31,1,1,1,,,,,,,,1,1,8443,1,1,2839,51,30,1,51,171,,51,30,1,51,171,,,,,,,
51,32,1,1,1,1,,,,,,,,,,,,,51,30,1,51,171,2,51,30,1,51,171,2,51,30,1,51,171,2
53,35,1,1,1,,1,3,1392,1,3,2241,1,3,460,1,1,3293,53,6,1,,,,53,6,1,,,,,,,,,
53,36,1,1,1,,1,3,1616,1,3,2433,1,2,7020,1,2,8356,53,4,1,53,173,2,53,4,1,53,173,2,,,,,,
53,38,1,1,1,,,,,1,3,3802,1,1,4630,1,1,1271,53,194,,53,9,2,53,9,2,,,,,,,,,
53,40,1,1,1,,,,,,,,1,3,3923,1,1,6996,53,194,,53,9,2,53,9,2,,,,,,,,,
53,41,1,1,1,1,,,,,,,,,,1,3,1948,53,170,1,53,3,2,,,,,,,53,217,3,53,216,4
53,42,1,1,1,1,,,,,,,,,,1,3,1286,53,191,1,53,10,2,53,10,2,,,,53,191,1,53,218,
53,205,1,1,1,1,,,,,,,,,,,,,53,202,1,53,30,2,53,202,1,53,30,2,53,202,1,53,967,
60,36,1,1,1,1,,,,,,,1,3,8519,1,1,5844,60,32,1,60,181,2,60,32,1,60,181,2,60,32,1,60,181,2
60,37,1,1,1,1,,,,,,,,,,,,,60,32,1,60,181,2,60,32,1,60,181,2,60,32,1,60,181,2
61,32,1,1,1,,,,,1,3,7031,1,3,4395,1,1,5470,61,5,1,61,171,2,61,5,1,61,171,2,,,,,,
61,34,1,1,1,1,,,,,,,,,,1,3,3553,61,5,1,61,171,2,61,5,1,61,171,2,61,5,1,61,171,2
61,35,1,1,1,1,,,,,,,,,,,,,61,172,1,61,3,2,61,172,1,61,3,2,61,172,1,61,3,2
68,30,1,1,1,1,,,,,,,,,,1,3,4679,68,175,1,68,3,2,68,175,1,68,3,2,68,175,1,68,3,2
79,32,1,1,1,,1,3,6520,1,3,1548,1,1,4308,1,1,8878,79,3,1,79,171,2,79,3,1,79,171,2,,,,,,
84,33,1,1,1,,,,,1,3,632,1,3,2105,1,3,141,84,1,2,,,,84,1,2,84,172,1,,,,,,
84,34,1,1,1,,,,,,,,,,,,,,84,177,1,84,178,,84,177,1,,,,,,,,,
84,35,1,1,1,1,,,,,,,,,,,,,84,177,1,84,178,,84,177,1,,,,84,177,1,,,
88,35,1,1,1,,1,3,3411,1,1,7536,1,1,5174,1,1,2638,88,174,1,,,,88,174,1,88,5,2,,,,,,
88,36,1,1,1,,,,,,,,1,3,5174,,,,88,174,1,,,,88,174,1,88,5,2,,,,,,
89,34,1,1,1,,1,3,4527,1,3,4627,1,1,5106,1,1,5828,89,3,1,89,170,2,89,3,1,89,170,2,,,,,,
89,35,1,1,1,1,,,,,,,,,,,,,89,31,1,89,179,2,89,31,1,89,179,2,89,31,1,89,179,2
90,30,1,1,1,1,,,,,,,1,3,8676,1,3,5370,90,171,1,90,4,2,90,171,1,90,4,2,90,171,1,90,4,2
90,31,1,1,1,1,,,,,,,,,,1,3,4573,90,3,,90,172,,90,3,,90,172,,90,3,,90,172,
90,32,1,1,1,1,,,,,,,,,,,,,90,3,1,90,172,2,90,3,1,90,172,2,90,3,1,90,172,2
91,31,1,1,1,1,,,,,,,,,,,,,91,3,1,91,170,2,91,3,1,91,170,2,91,3,1,91,170,2
91,32,1,1,1,1,,,,,,,,,,,,,91,3,1,91,170,2,91,3,1,91,170,2,91,3,1,91,170,2
96,31,1,1,1,,1,3,161,,,,,,,,,,96,3,1,,,,96,3,1,96,170,2,,,,,,
96,32,1,1,1,1,,,,,,,1,3,1522,1,3,2882,96,3,1,,,,96,3,1,96,170,2,96,3,1,96,170,2
96,33,1,1,1,,,,,,,,,,,,,,96,5,1,96,173,2,96,5,1,96,173,2,,,,,,
99,32,1,1,1,1,,,,,,,,,,,,,99,171,1,99,31,2,99,171,1,,,,99,171,1,99,905,
99,33,1,1,1,1,,,,,,,,,,,,,99,171,1,99,31,2,99,171,1,,,,99,171,1,99,905,
105,35,1,1,1,1,,,,,,,1,1,7489,1,1,8303,105,4,1,,,,105,4,1,,,,105,912,,105,913,
106,31,1,1,1,1,,,,,,,,,,1,3,6792,106,173,1,,,,106,173,1,,,,106,173,1,106,183,
106,32,1,1,1,1,,,,,,,1,3,6090,1,3,3960,106,173,1,,,,106,173,1,,,,106,173,1,106,183,
114,33,1,1,1,,1,3,2064,1,3,1023,1,3,883,1,3,3002,114,173,1,114,3,2,114,173,1,114,3,2,,,,,,
114,34,1,1,1,,1,1,7653,1,2,3536,,,,,,,114,170,1,114,21,2,114,170,1,114,21,2,,,,,,
117,31,1,1,1,1,,,,,,,,,,,,,117,30,1,117,171,2,117,30,1,117,171,2,117,30,1,117,171,2
117,32,1,1,1,1,,,,,,,,,,,,,117,30,1,117,171,2,117,30,1,117,171,2,117,30,1,117,171,2
121,30,1,1,1,,1,3,2395,1,3,2886,1,2,4280,1,2,1264,121,7,1,121,171,2,121,7,1,121,171,2,,,,,,
121,32,1,1,1,,1,3,5509,1,2,7565,1,2,5891,1,2,8681,121,170,1,121,6,2,121,6,2,121,170,1,,,,,,
121,33,1,1,1,,,,,1,1,7699,1,1,6292,1,1,334,121,170,1,121,6,2,121,6,2,121,170,1,,,,,,
121,36,1,1,1,1,,,,,,,,,,,,,121,7,1,121,171,2,121,7,1,121,171,2,121,7,1,121,171,2
121,37,1,1,1,1,,,,,,,,,,1,3,6915,121,173,1,121,4,2,121,173,1,121,4,2,121,173,1,121,4,2
122,34,1,1,,,1,2,7002,1,2,1065,1,2,452,1,2,3262,122,170,1,122,1,2,,,,,,,,,,,,
122,36,1,1,1,1,,,,,,,,,,1,3,3753,122,173,1,122,4,2,122,173,1,122,4,2,122,173,1,122,4,2
122,37,1,1,1,,,,,,,,,,,,,,122,171,1,122,3,2,122,171,1,122,3,2,,,,,,
122,174,1,1,1,,,,,1,3,2214,1,3,1420,1,3,3753,122,173,1,122,4,2,122,173,1,122,4,2,,,,,,
126,30,1,1,1,,,,,,,,1,3,3527,1,1,7561,126,3,1,126,177,2,126,3,1,126,177,2,,,,,,
128,30,1,1,1,1,,,,,,,,,,,,,128,172,1,128,4,2,128,172,1,128,4,2,128,172,1,128,4,2
128,31,1,1,1,1,,,,,,,,,,,,,128,172,1,128,4,2,128,172,1,128,4,2,128,172,1,128,4,2
129,40,1,1,,,,,,,,,,,,,,,129,36,1,129,199,2,,,,,,,,,,,,
129,41,1,1,1,1,,,,,,,,,,,,,129,35,1,129,196,2,129,35,1,129,196,2,129,35,1,129,196,2
129,197,1,1,1,,,,,1,3,1621,1,3,1451,1,2,8710,129,35,1,129,196,2,129,35,1,129,196,2,,,,,,
134,30,1,1,1,,,,,,,,,,,,,,134,171,1,134,3,2,134,171,1,134,3,2,,,,,,
134,31,1,1,1,,,,,,,,,,,,,,134,171,1,134,3,2,134,171,1,134,3,2,,,,,,
138,32,1,1,1,1,,,,,,,,,,1,3,2904,138,31,1,,,,138,31,1,,,,138,31,1,,,
138,33,1,1,1,1,,,,,,,,,,,,,138,31,1,,,,138,31,1,,,,138,31,1,,,
145,30,1,1,1,,,,,1,3,4537,1,3,172,1,3,2180,145,3,1,145,170,2,145,3,1,145,170,2,,,,,,
145,31,1,1,1,1,,,,,,,,,,1,3,2180,145,3,1,145,170,2,145,3,1,145,170,2,145,3,1,145,170,2
151,37,1,1,1,,,,,1,3,6856,1,3,3838,1,1,7096,151,171,1,151,3,2,151,171,1,151,3,2,,,,,,
151,38,1,1,1,1,,,,,,,,,,,,,151,171,1,151,3,2,151,171,1,151,3,2,151,171,1,,,
165,32,1,1,1,,1,3,1547,1,3,2639,1,3,6463,1,3,6083,165,4,1,165,174,2,165,4,1,165,174,2,,,,,,
166,33,1,1,1,,1,3,2941,1,3,3483,1,3,1986,1,3,6728,166,170,1,166,21,2,166,170,1,166,21,2,,,,,,
172,36,1,1,1,1,,,,,,,,,,,,,172,34,1,,,,172,34,1,172,183,,172,34,1,,,
172,179,1,1,,,,,,,,,,,,,,,172,177,1,172,182,2,,,,,,,,,,,,
172,180,1,1,,,,,,,,,,,,,,,172,177,1,172,182,2,,,,,,,,,,,,
173,35,1,1,1,,1,3,3329,1,2,2978,1,2,2529,1,2,68,173,3,1,173,172,2,173,3,1,173,172,2,,,,,,
173,36,1,1,1,,1,3,3526,1,3,1276,1,3,3258,1,1,2081,173,5,1,173,171,2,173,5,1,173,171,2,,,,,,
173,37,1,1,1,,,,,1,3,1399,1,3,3532,1,3,990,173,3,1,173,172,2,173,3,1,173,172,2,,,,,,
173,38,1,1,1,1,,,,,,,1,3,3128,1,3,763,173,4,1,173,170,2,173,4,1,173,170,2,173,4,1,173,170,2
173,39,1,1,1,1,,,,,,,1,3,3258,1,3,161,173,5,1,173,171,2,173,5,1,173,171,2,173,5,1,173,171,2
173,40,1,1,1,1,,,,,,,,,,,,,173,4,1,173,170,2,173,4,1,173,170,2,173,4,1,173,170,2
174,33,1,1,1,,1,3,3674,1,3,2422,1,3,3244,1,3,1815,174,171,1,174,5,2,174,171,1,174,5,2,,,,,,
174,34,1,1,,,,,,,,,,,,,,,174,8,1,174,176,,,,,,,,,,,,,
174,36,1,1,1,,,,,1,3,2422,1,3,3244,1,3,1815,174,171,1,174,5,2,174,171,1,174,5,2,,,,,,
174,37,1,1,1,1,,,,,,,1,3,5172,,,,174,6,1,174,174,2,174,6,1,174,174,2,174,6,1,174,174,2
174,40,1,1,1,1,,,,,,,,,,,,,174,6,1,174,174,2,174,6,1,174,174,2,174,6,1,174,174,2
178,33,1,1,1,,1,3,714,1,3,3002,1,3,1075,,,,178,171,1,178,4,2,178,171,1,178,4,2,,,,,,
178,34,1,1,1,1,,,,,,,1,3,1075,,,,178,171,1,178,4,2,178,171,1,178,4,2,178,171,1,178,4,2
180,30,1,1,1,,1,3,1304,,,,,,,1,1,7583,180,171,1,,,,180,171,1,180,3,2,,,,,,
180,32,1,1,1,,,,,,,,1,2,7919,,,,180,171,1,,,,180,171,1,180,3,2,,,,,,
181,31,1,1,1,,1,3,2311,1,2,2395,1,2,1505,1,2,4376,181,171,1,181,3,2,181,171,1,181,3,2,,,,,,
181,32,1,1,1,,,,,1,3,1239,1,3,779,1,3,4415,181,171,1,181,3,2,181,171,1,181,3,2,,,,,,
189,31,1,1,,,,,,,,,,,,,,,189,4,1,189,171,2,,,,,,,,,,,,
190,33,1,1,,,,,,1,3,6199,1,3,1320,1,2,3033,190,4,1,190,30,,,,,,,,,,,,,
195,30,1,1,1,1,,,,,,,1,3,725,,,,195,170,1,195,171,,195,170,1,195,171,,195,170,1,195,171,
195,31,1,1,1,1,,,,,,,,,,,,,195,170,1,195,171,,195,170,1,195,171,,195,170,1,195,171,
200,34,1,1,,,1,3,6571,1,1,4823,1,1,4226,1,1,394,200,3,2,,,,,,,,,,,,,,,
200,35,1,1,,1,,,,,,,1,3,3668,1,3,1570,200,175,1,200,4,2,,,,,,,200,175,1,200,4,2
203,31,1,1,1,,,,,1,3,4066,1,3,8308,1,3,4257,203,5,1,203,172,2,203,5,1,203,172,2,,,,,,
203,33,1,1,1,1,,,,,,,,,,,,,203,5,1,203,172,2,203,5,1,203,172,2,203,5,1,203,172,2
209,30,1,1,1,,1,3,5712,1,1,6322,1,1,8504,1,1,473,209,170,1,,,,209,170,1,,,,,,,,,
217,32,1,1,,,1,3,1115,1,3,1301,1,1,6452,1,1,5529,217,170,1,,,,,,,,,,,,,,,
220,30,1,1,1,1,,,,,,,1,3,528,1,3,2766,220,170,1,220,2,2,220,170,1,220,2,2,220,170,1,220,2,2
221,32,1,1,1,1,,,,,,,,,,,,,221,171,1,221,31,2,221,171,1,221,31,2,221,171,1,221,31,2
228,31,1,1,1,,1,3,722,1,3,368,1,1,5502,1,1,3974,228,172,1,228,3,2,228,172,1,228,3,2,,,,,,
228,32,1,1,1,1,,,,,,,1,3,1405,1,3,4049,228,5,1,228,174,2,228,5,1,228,174,2,228,5,1,228,174,2
236,32,1,1,1,1,,,,,,,,,,,,,236,3,1,236,172,2,236,3,1,236,172,2,236,3,1,236,172,2
245,34,1,1,1,,1,3,3832,1,3,3922,1,3,6176,1,3,5743,245,170,1,245,21,2,245,170,1,245,21,2,,,,,,
246,31,1,1,1,,1,3,4510,1,3,4443,1,1,6731,1,1,115,246,3,1,246,170,2,246,3,1,246,170,2,,,,,,
250,31,1,1,1,,1,3,3554,1,3,123,,,,,,,250,170,2,250,173,,250,3,1,250,177,,,,,,,
250,32,1,1,1,1,,,,,,,,,,1,3,1445,250,3,1,,,,250,3,1,250,177,,250,3,1,250,177,
257,37,1,1,1,,,,,,,,1,3,7272,1,3,4425,257,174,1,,,,257,174,1,,,,,,,,,
257,39,1,1,1,1,,,,,,,,,,,,,257,174,1,,,,257,174,1,,,,257,174,1,,,
257,40,1,1,1,1,,,,,,,,,,,,,257,30,1,257,175,2,257,30,1,257,175,2,257,30,1,257,175,2
263,38,1,1,1,1,,,,,,,,,,,,,263,31,1,263,175,2,263,31,1,263,175,2,263,31,1,263,175,2
266,31,1,1,,,,,,,,,,,,,,,266,5,1,266,170,2,,,,,,,,,,,,
266,33,1,1,,,,,,,,,,,,,,,266,5,1,266,170,2,,,,,,,,,,,,
266,35,1,1,1,1,,,,,,,,,,,,,266,30,1,266,173,2,266,30,1,266,173,2,266,30,1,266,173,2
277,33,1,1,,,1,3,4706,1,2,6321,1,2,6790,1,2,8464,277,176,1,277,4,2,,,,,,,,,,,,
280,32,1,1,1,,1,3,3048,1,3,1233,1,3,281,1,3,5691,280,172,1,280,4,2,280,172,1,280,4,2,,,,,,
280,33,1,1,1,1,,,,,,,1,3,281,1,2,6379,280,172,1,280,4,2,280,172,1,280,4,2,280,172,1,280,4,2
284,30,1,1,1,,,,,,,,,,,,,,284,170,1,284,4,2,284,170,1,284,4,2,,,,,,
284,31,1,1,1,,,,,,,,,,,,,,284,170,1,284,4,2,284,170,1,284,4,2,,,,,,
297,48,1,1,1,,1,3,1037,1,3,1251,1,3,499,1,3,349,297,7,1,297,176,2,297,7,1,297,176,2,,,,,,
302,36,1,1,1,,1,3,918,1,3,2306,1,2,6958,1,2,518,302,174,1,302,22,2,302,174,1,302,22,2,,,,,,
302,37,1,1,1,,,,,1,3,2306,1,3,1275,1,3,76,302,174,1,302,22,2,302,174,1,302,22,2,,,,,,
308,37,1,1,1,,1,3,1170,1,3,1491,1,1,5718,1,1,742,308,3,1,308,172,2,308,3,1,,,,,,,,,
311,32,1,1,1,1,,,,,,,1,3,749,1,3,2429,311,3,1,311,173,2,311,3,1,,,,311,3,1,,,
311,33,1,1,1,1,,,,,,,,,,,,,311,3,1,311,173,2,311,3,1,,,,311,3,1,,,
315,30,1,1,1,,1,3,4236,1,3,8002,1,3,1130,1,3,806,315,170,1,315,3,2,315,170,1,315,3,2,,,,,,
319,31,1,1,1,,1,1,7025,1,2,1927,1,2,2613,,,,319,173,,319,171,2,319,171,2,319,173,,,,,,,
319,32,1,1,1,1,,,,,,,,,,1,3,1625,319,3,1,319,172,2,319,3,1,319,172,2,319,3,1,319,172,2
321,32,1,1,1,,1,3,7055,1,3,4539,1,2,6683,1,2,761,321,4,1,321,170,2,321,4,1,321,170,2,,,,,,
321,176,1,1,1,,,,,1,3,1795,1,3,5289,,,,321,5,1,321,174,2,321,5,1,321,174,2,,,,,,
321,177,1,1,1,,1,3,829,1,3,1795,1,3,5289,1,1,7619,321,5,1,321,174,2,321,5,1,321,174,2,,,,,,
323,32,1,1,1,1,,,,,,,1,3,1981,1,3,4271,323,4,1,323,172,2,323,4,1,323,172,2,323,4,1,323,172,2
323,33,1,1,1,1,,,,,,,,,,1,3,4271,323,4,1,323,172,2,323,4,1,323,172,2,323,4,1,323,172,2
323,34,1,1,1,1,,,,,,,,,,,,,323,173,1,323,5,2,323,173,1,323,5,2,323,173,1,,,
327,33,1,1,1,1,,,,,,,,,,,,,327,172,1,327,31,2,327,172,1,327,31,2,327,31,2,327,172,1
340,31,1,1,,,,,,,,,,,,,,,340,172,1,340,4,2,,,,,,,,,,,,
340,34,1,1,,,,,,,,,,,,,,,340,172,1,340,4,2,,,,,,,,,,,,
343,32,1,1,1,1,,,,,,,,,,1,3,2295,343,171,1,343,30,2,343,171,1,343,30,2,343,171,1,343,30,2
343,33,1,1,1,1,,,,,,,,,,,,,343,171,1,343,30,2,343,171,1,343,30,2,343,171,1,343,30,2
344,31,1,1,1,,1,3,7169,1,3,5564,1,3,8004,1,3,8223,344,6,1,,,,344,6,1,344,187,,,,,,,
344,32,1,1,1,,1,3,7169,1,3,5564,1,3,8004,1,3,8223,344,6,1,,,,344,6,1,344,187,,,,,,,
344,33,1,1,1,,,,,,,,,,,,,,344,178,1,344,4,2,344,178,1,344,4,2,,,,,,
344,34,1,1,1,1,,,,,,,,,,,,,344,178,1,344,4,2,344,178,1,344,4,2,344,178,1,344,4,2
344,186,1,1,,,,,,,,,,,,,,,344,184,1,344,179,2,,,,,,,,,,,,
350,30,1,1,1,1,,,,,,,,,,1,3,1398,350,3,1,350,170,2,350,3,1,350,170,2,350,3,1,350,170,2
350,31,1,1,1,1,,,,,,,,,,,,,350,3,1,350,170,2,350,3,1,350,170,2,350,3,1,350,170,2
351,37,1,1,1,,1,3,2570,1,1,4307,1,2,5272,1,2,3192,351,6,1,351,172,2,351,6,1,,,,,,,,,
351,38,1,1,1,,,,,,,,,,,1,3,3352,351,3,1,351,170,2,351,3,1,351,170,2,,,,,,
351,39,1,1,1,1,,,,,,,,,,1,3,6755,351,173,1,351,5,2,351,173,1,351,5,2,351,173,1,,,
354,31,1,1,1,1,,,,,,,,,,,,,354,171,1,354,3,2,354,171,1,,,,354,171,1,,,
355,31,1,1,1,,1,3,600,1,3,1904,1,3,3129,1,3,903,355,3,1,355,174,,355,3,1,355,174,,,,,,,
355,32,1,1,1,,,,,1,3,2061,1,3,4912,1,3,848,355,171,1,355,4,2,355,171,1,355,4,2,,,,,,
355,33,1,1,1,1,,,,,,,1,3,4912,1,1,1754,355,171,1,355,4,2,355,171,1,355,4,2,355,171,1,355,4,2
356,31,1,1,1,1,,,,,,,,,,,,,356,3,1,356,173,2,356,3,1,356,173,2,356,3,1,356,173,2
356,32,1,1,1,1,,,,,,,,,,,,,356,177,1,356,30,2,356,177,1,356,30,2,356,177,1,356,30,2
361,176,1,1,1,,1,3,2393,1,3,4554,1,3,1054,1,3,602,361,175,,361,4,2,361,175,,361,4,2,,,,,,
368,32,1,1,1,1,,,,,,,,,,1,3,1533,368,170,1,368,3,2,368,170,1,368,3,2,368,170,1,368,3,2
374,30,1,1,1,1,,,,,,,,,,,,,374,5,1,374,170,2,374,5,1,374,170,2,374,5,1,374,170,2
375,30,1,1,,,,,,,,,,,,,,,375,3,1,375,171,2,,,,,,,,,,,,
375,31,1,1,,,,,,,,,,,,,,,375,3,1,375,171,2,,,,,,,,,,,,
377,30,1,1,1,1,,,,,,,,,,,,,377,4,1,377,170,2,377,4,1,377,170,2,377,4,1,,,
377,31,1,1,1,1,,,,,,,,,,,,,377,4,1,377,170,2,377,4,1,377,170,2,377,4,1,,,
391,31,1,1,1,,1,3,7515,,,,,,,1,1,8216,391,3,1,391,172,2,391,3,1,391,172,2,,,,,,
391,32,1,1,1,,,,,,,,,,,,,,391,5,2,391,174,,391,5,2,391,174,,,,,,,
404,33,1,1,1,1,,,,,,,,,,,,,404,174,1,404,4,2,404,174,1,404,4,2,404,174,1,404,4,2
404,35,1,1,1,1,,,,,,,,,,,,,404,174,1,404,4,2,404,174,1,404,4,2,404,174,1,404,4,2
409,33,1,1,1,1,,,,,,,,,,,,,409,30,1,409,178,2,409,30,1,409,178,2,409,30,1,409,178,2
409,177,1,1,,,,,,,,,,,,,,,409,174,1,409,3,2,,,,,,,,,,,,
414,38,1,1,1,,1,3,5493,1,3,3007,1,3,4655,1,1,3070,414,5,1,414,172,2,414,5,1,414,172,2,,,,,,
414,39,1,1,1,,,,,,,,,,,,,,414,3,1,,,,414,3,1,,,,,,,,,
419,33,1,1,,,,,,,,,,,,,,,419,173,1,419,4,2,,,,,,,,,,,,
419,34,1,1,1,1,,,,,,,1,1,4445,,,,419,31,1,,,,419,31,1,,,,419,31,1,,,
419,35,1,1,1,1,,,,,,,,,,1,1,5075,419,31,1,,,,419,31,1,,,,419,31,1,,,
419,36,1,1,1,1,,,,,,,,,,1,3,3205,419,30,1,,,,,,,,,,419,30,1,,,
419,37,1,1,1,1,,,,,,,,,,,,,419,30,1,,,,419,30,1,,,,419,30,1,,,
428,30,1,1,,,1,3,1536,1,1,5002,1,1,485,1,1,3351,428,170,1,428,4,2,,,,,,,,,,,,
428,32,1,1,1,1,,,,,,,1,3,1469,1,3,3638,428,170,1,428,4,2,428,170,1,428,4,2,428,170,1,428,4,2
432,32,1,1,1,1,,,,,,,,,,1,3,4819,432,31,1,432,172,3,432,31,1,,,,432,172,3,432,4,4
433,31,1,1,,,1,2,7218,1,1,3579,1,2,1368,1,2,7414,433,8,1,433,173,,,,,,,,,,,,,
