ER30001,ER30002,CP_FLAG,CDS97KID,CDS02KID,CDS07KID,TA05KID,TA05_RESP,TA05_PSID,TA07KID,TA07_RESP,TA07_PSID,TA09KID,TA09_RESP,TA09_PSID,TA11KID,TA11_RESP,TA11_PSID,PCGID_97,PCGPN_97,PCG97_REL,OCGID_97,OCGPN_97,OCG97_REL,PCGID_02,PCGPN_02,PCG02_REL,OCGID_02,OCGPN_02,OCG02_REL,PCGID_07,PCGPN_07,PCG07_REL,OCGID_07,OCGPN_07,OCG07_REL
6228,178,1,1,,,,,,,,,,,,,,,6228,8,1,6228,176,2,,,,,,,,,,,,
6229,31,1,1,1,,1,1,4835,1,1,5075,1,1,444,1,1,6518,6229,5,1,,,,6229,5,1,,,,,,,,,
6229,32,1,1,1,,1,1,4850,1,1,4962,1,1,448,1,1,6488,6229,5,1,,,,6229,5,1,,,,,,,,,
6229,33,1,1,,,,,,,,,,,,,,,6229,177,1,,,,,,,,,,,,,,,
6229,178,1,1,,,,,,,,,,,,,,,6229,177,1,,,,,,,,,,,,,,,
6231,36,1,1,,,1,3,5516,1,1,4788,1,1,3338,1,1,4098,6231,8,1,,,,,,,,,,,,,,,
6231,37,1,1,,,,,,,,,1,1,8162,,,,6231,172,1,6231,180,,,,,,,,,,,,,
6231,40,1,1,1,1,,,,,,,,,,1,3,4295,6231,31,1,,,,6231,31,1,6231,8,3,6231,31,1,,,
6231,41,1,1,1,1,,,,,,,,,,,,,6231,33,1,,,,6231,33,1,6231,183,2,6231,33,1,6231,183,2
6231,182,1,1,,,,,,,,,,,,,,,6231,172,1,6231,180,2,,,,,,,,,,,,
6232,39,1,1,1,,,,,1,1,5959,1,1,971,1,1,1947,6232,7,1,,,,6232,7,1,,,,,,,,,
6232,42,1,1,,,,,,1,3,5051,,,,1,3,1639,6232,8,3,6232,3,,,,,,,,,,,,,
6232,46,1,1,1,1,,,,,,,,,,,,,6232,7,5,,,,6232,37,2,6232,7,5,6232,192,1,,,
6232,47,1,1,1,1,,,,,,,,,,,,,6232,32,1,,,,6232,32,1,,,,6232,32,1,,,
6232,48,1,1,1,1,,,,,,,,,,,,,6232,32,1,,,,6232,32,1,,,,6232,32,1,,,
6233,36,1,1,1,1,,,,,,,,,,1,3,527,6233,9,1,,,,6233,9,1,,,,6233,9,1,,,
6233,37,1,1,1,1,,,,,,,,,,1,3,527,6233,9,1,,,,6233,9,1,,,,6233,9,1,,,
6250,34,1,1,1,,1,1,7871,1,1,7520,,,,1,1,3663,6250,2,3,6250,1,4,6250,7,1,6250,174,,,,,,,
6262,34,1,1,1,,1,3,7155,,,,1,1,2181,1,1,4410,6262,172,1,6262,4,2,6262,4,2,6262,172,1,,,,,,
6262,35,1,1,,,,,,,,,,,,,,,6262,180,1,6262,9,2,,,,,,,,,,,,
6262,36,1,1,1,,,,,1,3,3521,1,3,4231,1,3,5587,6262,179,1,6262,185,,6262,179,1,,,,,,,,,
6275,31,1,1,1,,,,,1,3,7368,1,3,7737,,,,6275,3,1,,,,6275,3,1,6275,173,2,,,,,,
6275,33,1,1,1,1,,,,,,,,,,1,3,6444,6275,3,1,,,,6275,3,1,6275,173,2,6275,3,1,6275,173,2
6275,34,1,1,1,,,,,,,,,,,,,,6275,7,1,,,,6275,7,1,,,,,,,,,
6275,35,1,1,1,,,,,,,,,,,,,,6275,7,1,,,,6275,7,1,,,,,,,,,
6281,39,1,1,1,,1,3,5429,1,3,7246,1,3,5528,1,3,8105,6281,179,1,6281,198,,6281,179,1,6281,198,,,,,,,
6287,41,1,1,1,,,,,1,3,5799,1,1,6606,1,2,4841,6287,170,2,,,,6287,170,2,,,,,,,,,
